key,tag,tag_count
ele,3,30
ele,0,12
ele,2,24
ele,20,5
ele,1,7
ele,59,5
ele,12,9
ele,10,13
ele,4,11
ele,7,7
ele,21,6
ele,22,3
ele,23,4
ele,31,10
ele,5,46
ele,15,7
ele,28,6
ele,6,26
ele,9,20
ele,14,14
ele,13,6
ele,11,12
ele,40,5
ele,18,6
ele,8,28
ele,39,8
ele,16,6
ele,32,4
ele,71,1
ele,24,6
ele,42,9
ele,46,3
ele,33,4
ele,41,8
ele,19,7
ele,30,2
ele,37,1
ele,34,2
ele,26,3
ele,27,8
ele,43,2
ele,17,2
ele,35,1
ele,38,1
ele,61,1
ele,55,2
ele,54,1
ele,63,1
gnis:feature_id,943167,2
gnis:feature_id,2057413,2
gnis:feature_id,2060105,3
gnis:feature_id,2057401,1
gnis:feature_id,973529,1
gnis:feature_id,973379,3
gnis:feature_id,2500806,3
gnis:feature_id,2500771,2
gnis:feature_id,2082974,1
gnis:feature_id,964887,3
gnis:feature_id,2080614,1
gnis:feature_id,2076788,2
gnis:feature_id,2057421,1
gnis:feature_id,2083175,1
gnis:feature_id,2060104,5
gnis:feature_id,2083571,1
gnis:feature_id,2083568,1
gnis:feature_id,957912,5
gnis:feature_id,955363,3
gnis:feature_id,2044307,1
gnis:feature_id,2083325,1
gnis:feature_id,950504,10
gnis:feature_id,2500681,1
gnis:feature_id,2083160,2
gnis:feature_id,946476,2
gnis:feature_id,951469,1
gnis:feature_id,2060137,3
gnis:feature_id,973532,2
gnis:feature_id,2500739,1
gnis:feature_id,2500740,1
gnis:feature_id,2083023,1
gnis:feature_id,2500682,1
gnis:feature_id,2082740,1
gnis:feature_id,967646,2
gnis:feature_id,2500744,2
gnis:feature_id,2082894,1
gnis:feature_id,973403,2
gnis:feature_id,2500783,2
gnis:feature_id,2500785,3
gnis:feature_id,963513,1
gnis:feature_id,2083220,7
gnis:feature_id,973369,3
gnis:feature_id,2084057,1
gnis:feature_id,2083173,1
gnis:feature_id,2083200,2
gnis:feature_id,2057409,1
gnis:feature_id,2083631,1
gnis:feature_id,2083634,1
gnis:feature_id,2083637,1
gnis:feature_id,957684,2
gnis:feature_id,951479,2
gnis:feature_id,2095891,1
gnis:feature_id,2063257,1
gnis:feature_id,947175,6
gnis:feature_id,2083751,1
gnis:feature_id,2500818,2
gnis:feature_id,2500789,3
gnis:feature_id,2060113,1
gnis:feature_id,2500755,1
gnis:feature_id,2083131,1
gnis:feature_id,2082742,2
gnis:feature_id,2083151,1
gnis:feature_id,2079044,1
gnis:feature_id,2079052,1
gnis:feature_id,956352,2
gnis:feature_id,2078994,2
gnis:feature_id,2083174,6
gnis:feature_id,2082984,1
gnis:feature_id,2500762,3
gnis:feature_id,2083255,1
gnis:feature_id,2500741,1
gnis:feature_id,2083321,1
gnis:feature_id,2500472,1
gnis:feature_id,2083482,1
gnis:feature_id,2500766;2078995,1
gnis:feature_id,2500770,1
gnis:feature_id,2078990,1
gnis:feature_id,2500761,2
gnis:feature_id,2500763,1
gnis:feature_id,2060435,2
gnis:feature_id,2082960,1
gnis:feature_id,2500747,1
gnis:feature_id,2500746,1
gnis:feature_id,946718,1
gnis:feature_id,2084019,1
gnis:feature_id,962750,4
gnis:feature_id,953965,4
gnis:feature_id,2057411,1
gnis:feature_id,2083782,8
gnis:feature_id,2500808,2
gnis:feature_id,2500807,2
gnis:feature_id,946721,8
gnis:feature_id,964033,2
gnis:feature_id,2082835,1
gnis:feature_id,2082830,3
gnis:feature_id,2083274,1
gnis:feature_id,2083287,2
gnis:feature_id,966670,3
gnis:feature_id,2060431,1
gnis:feature_id,2500479,1
gnis:feature_id,2057537,1
gnis:feature_id,2057536,1
gnis:feature_id,2058383,1
gnis:feature_id,2058391,1
gnis:feature_id,2060509,2
gnis:feature_id,2060604,1
gnis:feature_id,2084025,1
