nm_cntry,nm_cntry_alias,boundary_index
"Brasilia, Brazil",Plano Piloto,
"Auckalnd, New Zealand",Auckland,
"Amsterdam, Europe","Amsterdam, Netherlands",
"Bucharest, Europe","Bucharest, Romania",
"Budapest, Europe","Budapest, Hungary",
"Eindhoven, Europe","Eindhoven, Netherlands",
"Gdansk, Europe","Gdansk, Poland",
"Groningen, Europe","Groningen, Netherlands",
"Kielce, Europe","Kielce, Poland",
"Krakow, Europe","Krakow, Poland",
"London, Europe","London, England",
"Paris, Europe","Paris, France",
"Rotterdam, Europe","Rotterdam, Netherlands",
"The Hague, Europe","The Hague, Netherlands",
"Tilburg, Europe","Tilburg, Netherlands",
"Utrecht, Europe","Utrecht, Netherlands",
"Warsaw, Europe","Warsaw, Poland",
"Wroclaw, Europe","Wroclaw, Poland",
"Nairobi, Africa","Nairobi, Kenya",
"Douala, Africa",Communaute urbaine de Douala,
"Ottawa_Gatineau, Canada","Ottawa, Canada",
"Ottawa_Gatineau, Canada","Gatineau, Canada",
"Quebec, Canada","Quebec, Canada",1
"St. Louis, United States","St Louis, United States",
