city_name,footway_length,roads_length,footway_coverage
"Vancouver, Canada",5842205.864395816,2363030.5337793417,1.23616808604077
"Toronto, Canada",3510838.3290269524,1632010.1008738643,1.0756178307802948
"Salt Lake City, United States",3654971.6349549545,1847821.1246031534,0.9889949807073217
"Milwaukee, United States",6617142.093169719,4110261.9160148506,0.8049538239141512
"Raleigh, United States",5560705.446381653,3907218.1626008367,0.711593928847855
"Detroit, United States",9327030.666548619,6708989.500897363,0.6951144181475526
"London, Canada",2981500.2385398606,2634789.7995906756,0.565794705711068
"Boston, United States",2530088.908828987,2371969.9805306066,0.5333307186845192
"Seattle, United States",4467278.472463274,4478714.729602629,0.49872326573249176
"Vienna, Europe",4218904.924287814,4550768.566875109,0.4635376269183496
"San Jose, United States",4512901.294606145,5058015.232671307,0.4461138497029328
"Bratislava, Europe",3982585.1021801317,4941486.106153079,0.4029744308317557
"New York, United States",10836970.842702264,14878410.240182316,0.3641844346190535
"Jacksonville, United States",7098491.203389069,9904093.276028225,0.35836148779869587
"Kansas City, United States",4686293.42380578,6803996.7016501725,0.3443779905617248
"San Francisco, United States",1583171.0556472926,2343515.8658555886,0.3377769015165802
"Orlando, United States",1298038.9924080018,2068994.1647330227,0.3136884130786075
"Winnipeg, Canada",3525405.083038059,5741710.318809634,0.30699955999947964
"Indianapolis, United States",5970860.956048882,10409951.37066941,0.28678620790064874
"Christchurch, New Zealand",1603016.1052514254,2920055.5307684583,0.274483839153149
"Washington, United States",1376701.7766381456,2545666.3392860107,0.2704010646234715
"Denver, United States",2669635.52747984,5063832.034621626,0.26359834896057305
"Melbourne, Australia",19082158.19665307,40672519.61307585,0.23458293681071
"Calgary, Canada",5327134.623423373,11489718.867500436,0.23182180020485915
"Cincinnati, United States",1007727.7198907277,2243366.9352585617,0.2246016253633026
"Philadelphia, United States",2643766.4423460313,5989460.253803779,0.2207015599333038
"Atlanta, United States",1593411.5174219785,3632543.7799084503,0.21932447534908123
"Montreal, Canada",2715472.396625751,6325155.684614429,0.214656565942794
"Providence, United States",424053.0493728514,1040380.0233317524,0.20379718942259573
"Columbus, United States",2671732.6921187476,6633985.97581182,0.20136707417381902
"Los Angeles, United States",5424023.352220269,14706601.233941657,0.1844077794025603
"Halifax, Canada",271300.21832968434,799789.0677923453,0.16960735602360338
"San Diego, United States",2582213.8155871155,7676770.738267029,0.16818359591718315
"Austin, United States",2191204.2627270552,6528102.530050134,0.1678285729000512
"Nashville, United States",2290803.2542223684,6937288.21938637,0.16510797748179754
"Tampa, United States",1029708.4380884253,3205974.7717431705,0.1605920993458951
"Baltimore, United States",1004775.9579929677,3222918.4875844894,0.15587982784293536
"Hartford, United States",182489.41290325433,592609.0566831997,0.15397116433272007
"Sacramento, United States",1094098.2225197477,3567097.3758000876,0.15335973583764942
"Pittsburgh, United States",705031.3409679385,2350738.0411308864,0.14995957197952267
"Chicago, United States",2633638.355579122,9372975.187562581,0.14049105555479408
"Sydney, Australia",6748490.487708782,24586692.488424223,0.1372386808613251
"Brisbane, Australia",2078945.7897415496,7989938.888274643,0.13009772783071186
"Miami, United States",419187.29990538064,1668272.876661187,0.12563511214793738
"Portland, United States",1233615.5604438488,5327282.149553228,0.11578282563345231
"Louisville, United States",1416282.2185027045,6561849.141488379,0.10791791977874235
"Dallas, United States",2093498.7026893508,10000599.936152238,0.10466865568341248
"Charlotte, United States",1508031.7229533284,7226403.489677093,0.10434178807670715
"Buffalo, United States",321826.8034856261,1649892.528384082,0.09752962630869838
"Cleveland, United States",572334.1783300833,2948516.9742906825,0.09705458427414485
"Hobart, Australia",7060.303388069485,37603.428595605496,0.09387845273362365
"Quebec, Canada",44006495.10760684,243490730.86995754,0.09036585284043037
"Edmonton, Canada",1618011.4539065266,9118206.954269141,0.08872421200908223
"Riverside, United States",331665.463332611,2098775.324284297,0.07901404678600178
"Phoenix, United States",1627873.8293744621,11570597.22946804,0.07034528110738256
"Shenzhen, China",1497885.1523701877,12786495.839185739,0.05857293394566087
"Richmond, United States",251227.25166997343,2150509.291257791,0.05841110584624247
"Adelaide, Australia",1340301.9473281505,11985262.601780966,0.05591458409634623
"Houston, United States",1712919.6074597812,15827356.849474138,0.054112623596930295
"Wellington, New Zealand",683878.8686617322,6477229.058430911,0.05279100542010164
"Oklahoma City, United States",939614.18316719,9406464.839265905,0.04994512812320888
"Salvador, Brazil",333124.3624601689,3455072.3902766476,0.04820801488814763
"Natal, Brazil",154663.32792776977,2185565.7555873534,0.03538290429660517
"Recife, Brazil",175014.35330185358,2496501.220141401,0.035051926249797874
"San Antonio, United States",721563.3927957139,10729245.307006868,0.03362600873355407
"Las Vegas, United States",331041.42975079315,4935383.460462466,0.033537559178813355
"Curitiba, Brazil",366401.98259852437,5774214.119428087,0.03172743294760388
"New Orleans, United States",226202.35627408596,3583424.8286465993,0.03156231358137892
"Rio de Janeiro, Brazil",668622.7390015611,10767993.884494575,0.031046764428625265
"Fortaleza, Brazil",299626.41238066484,4919231.126428752,0.030454597952402643
"Beijing, China",2900043.2833073535,52275844.59155661,0.027737890281506396
"Porto Alegre, Brazil",195729.559647916,3744850.3554110797,0.02613316168496543
"Birmingham, United States",162331.5446215313,3269805.661149162,0.024822812338712575
"Guangzhou, China",1234967.375559849,25131378.983531427,0.02457022705298269
"Shanghai, China",1447143.4570214632,33365917.520137653,0.021685953280740067
"Belem, Brazil",94496.29956517294,2354931.473885985,0.02006349242282623
"Sao Paulo, Brazil",715433.2672938579,18780077.87527172,0.01904766508545446
"Maceio, Brazil",82233.23312130861,2317138.4158923784,0.017744566435328568
"Guarulhos, Brazil",91241.19688731324,2701961.487319328,0.016884251925040488
"Xiamen, China",222222.2637434335,6711198.6094980985,0.016556078628706575
"Belo Horizonte, Brazil",171841.94703333807,5315195.444203591,0.016165157879635246
"Campo Grande, Brazil",192933.2505643104,7380582.765233291,0.013070326334739776
"Sao Luis, Brazil",71562.93276062654,3329044.4479084145,0.010748269342812228
"Duque de Caxias, Brazil",55466.61264171986,2635323.1092661773,0.010523683499509268
"Goiania, Brazil",134222.87628614114,6749279.078660267,0.009943497277399915
"Campinas, Brazil",109157.34903651095,5970364.904230002,0.009141597773962944
"Kunming, China",265022.94759267656,18529212.900128677,0.007151489624009773
"Manaus, Brazil",68114.0086828165,5318451.277508198,0.00640355670558378
"Sao Goncalo, Brazil",20281.91943386483,2433492.969237706,0.004167244304843453
