city_name,roads_length,walk_network_length,footways_length,sidewalks_length,no_sidewalks_length,footways_coverage,sidewalks_coverage,no_sidewalks_coverage,walk_network_coverage
"Toronto, Canada",1632604.3017944908,4480799.493011363,3518550.5232413183,309056.5304392235,113236.36018043447,0.3926253036683688,0.03448676189609181,0.012635731676573293,2.7445716565160674
"Vancouver, Canada",2362973.85434055,7993735.98635294,5843186.556385893,26736.274200207085,3818.3879500861603,0.3654853354152235,0.0016723265720716676,0.00023883625607631936,3.382913429900731
"Detroit, United States",6709338.462241944,14044672.70155817,9354830.68322385,29925.97279140591,56422.17789080593,0.3330384011791883,0.001065385197196009,0.002008668307540774,2.093302160950322
"Salt Lake City, United States",1849294.0175020876,5543010.180507777,3659168.2217142736,211845.0863442306,19112.254584341426,0.3300704944203322,0.019109209567140302,0.0017239959843074486,2.9973655503384657
"Raleigh, United States",3906984.4294719575,9273962.697569069,5566067.191447173,41177.008192160654,13023.992064553266,0.30009109228497194,0.002220033093456056,0.0007021805289322099,2.3736881641021736
"Boston, United States",2371966.784267129,4874865.292796837,2533128.705660273,206730.37235926325,8866.619747578645,0.2598152516545694,0.021203701019670295,0.000909422026561439,2.0551996449237944
"London, Canada",2634835.9639752894,6098402.492735497,3127702.095149149,148902.86933122863,55242.57691454485,0.2564361813503546,0.012208350425263324,0.004529266228356573,2.314528333496168
"Warsaw, Poland",6045882.637696672,20309553.88810988,10382683.999624655,145274.66816500277,134098.82073215747,0.25561083362109543,0.003576510566538171,0.0033013728777830246,3.359237204089576
"Seattle, United States",4478337.446446941,9511523.154848076,4481562.718300462,262901.0514344461,45274.73168693294,0.23558596479976943,0.013820134123336702,0.0023799937691291934,2.1238960369979276
"Gatineau, Canada",1021846.7597261665,1757935.3595653651,791759.3509565324,1328.7329181543807,118223.77200653328,0.2251958090063927,0.0003779242822907035,0.03362574492948453,1.7203512589661243
"New York, United States",14875510.43024863,25120194.201605517,10847437.61345373,842027.8569748399,25292.720135925923,0.21591070368318316,0.016759979047475337,0.0005034340087687176,1.6886946044234434
"Minneapolis, United States",2743960.7763681756,5902106.522673136,2518837.919393479,986561.5949123035,84695.19570008389,0.21338465425160327,0.08357707465312553,0.007174997212836173,2.1509442020833065
"Denver, United States",5064160.611947656,11300871.990501393,4743073.641791402,74638.75703710769,4182.276515722448,0.209854321231939,0.003302345035845156,0.00018504220378912946,2.2315390163257725
"Krakow, Poland",2828786.487839745,9029882.334245771,3788627.031245045,132391.79768314867,148458.46500962565,0.2097827463862237,0.007330759847282485,0.008220398644985543,3.1921399416544896
"Jacksonville, United States",9903178.40483279,17709426.297135964,7098491.203389069,536087.8842165477,532337.0224692227,0.2004156172054276,0.015135664905848641,0.015029764757408156,1.7882568174772753
"Kansas City, United States",6803618.596041363,11733445.74755811,4686293.42380578,42475.718178683586,41601.49022246062,0.19969809059632213,0.0018100274673159573,0.0017727737920089867,1.7245889936254115
"San Francisco, United States",2343515.5207746867,4021258.828539305,1584239.118651194,939987.3920707174,76950.5584132538,0.19698298296638844,0.11687725562447338,0.009567968849347304,1.7159087673590543
"Vienna, Europe",4549839.12674917,11457521.420684269,4220870.299681008,1168392.678750683,84645.9916330246,0.1841964830221076,0.05098802070059338,0.003693905013357128,2.518225612269195
"Paris, France",2329514.228208687,4307012.476293206,1557351.8524485792,794406.9680024876,68118.47354356178,0.1807925866271115,0.09222250601491026,0.007907856538436054,1.8488886756468297
"Kielce, Poland",859079.9853371987,3322102.5709807333,1198542.160291328,5925.493608586063,1362.0337407975433,0.18038909616470705,0.0008918288165372285,0.00020499573864684302,3.867046873029838
"Ottawa, Canada",10097173.693937652,21410880.328548297,7661097.062998441,2197706.872768803,6832719.782631568,0.1789066340439884,0.05132219785093283,0.15956186008664783,2.120482520906162
"Wroclaw, Poland",2218420.148177063,9602720.920876296,3155580.867081986,55206.053893789685,23487.343580814333,0.16430660086256174,0.0028745005893991895,0.0012229525243076104,4.328630412398263
"Winnipeg, Canada",5741710.298280387,10742235.079709182,3525405.083038059,59737.9925653269,5216.460305698299,0.1640908552493482,0.002780519702001539,0.00024280144062158808,1.8709120665538326
"The Hague, Netherlands",2075046.5752092297,3511353.1597818825,1086073.4099011743,281371.48607456114,12374.85912043716,0.15465169131102705,0.04006596221896964,0.0017621211193131396,1.6921804077712463
"Gdansk, Poland",2253432.745541346,7630942.078219348,2334712.0773210404,44866.827148882236,83521.409475389,0.15297666090173212,0.0029397960755686765,0.005472549039114081,3.386363357556586
"Orlando, United States",2068677.0397726498,4342492.870979216,1301856.3248720327,1391270.2278801496,563724.3621349178,0.14989734739374125,0.16019257477404025,0.06490792027573324,2.0991642424070514
"Indianapolis, United States",10409979.860014658,20232566.48965266,5990551.790187461,54245.88918508346,48953.935782455505,0.14804231072837817,0.001340558777178019,0.0012097806723504784,1.9435740281657155
"Utrecht, Netherlands",1602897.628059342,2238182.248927862,655829.6275711857,89059.7925137927,12235.359003448288,0.14650943369007202,0.019895563142021674,0.0027333250027582186,1.3963351181932129
"Melbourne, Australia",40668782.163126156,66262272.01223293,19277075.557434,742806.2594750372,39512.71030011911,0.1454604179122864,0.005605046709973248,0.0002981539049311841,1.6293153738031538
"Rotterdam, Netherlands",2687231.0443181163,4188196.8192431247,1147942.7387294238,197391.65196694803,16763.199681175756,0.13704498478379482,0.023565231110917552,0.002001243065291896,1.5585547912222328
"Washington, United States",2545603.694150096,5109475.91753063,1396098.2838624497,608596.8104247616,80209.05682259213,0.13661854037440824,0.05955569810366106,0.007849049307326664,2.007176501696796
"Providence, United States",1040380.0233317524,1557215.4397256388,424053.0493728514,25291.54514736928,897.5083470558106,0.1361574765298898,0.008120759819792605,0.0002881773209280342,1.4967756058394444
"Canberra, Australia",4824556.108606864,12647281.983775428,3420137.3581149387,35254.22596886243,7668.860731178042,0.13521234690989192,0.001393747131363416,0.00030318216756043096,2.6214395063647524
"Amsterdam, Netherlands",3399037.2656613938,5767549.015784294,1557619.9769210771,316767.69111008587,64453.54046018431,0.13503309401084176,0.027461204945391393,0.005587602314587322,1.696818412098824
"Milwaukee, United States",22396859.84656288,41369973.539016865,11134202.308309749,59256.11948083008,118798.29156523819,0.1345686418896166,0.0007161730406347061,0.00143580333032117,1.8471327597902383
"Montreal, Canada",6325046.042509901,10143206.854056172,2725547.100783121,541649.9065918997,110713.15375391314,0.1343533233620884,0.026700131151091485,0.00545750251113335,1.6036573940940277
"Calgary, Canada",11487331.004423056,20005630.935620017,5332533.554602339,47850.54161829136,14754.684589269094,0.1332758154882225,0.001195926831107673,0.0003687632906143036,1.7415386505287516
"Atlanta, United States",3632684.53960112,6138518.797900158,1593738.506387441,48905.72017785193,25686.20427344427,0.12981458221913575,0.003983511477930264,0.002092215167788597,1.6898023296496276
"Budapest, Hungary",6743153.072130451,13011558.957837915,3325902.50318287,756067.9311797104,187378.4448239194,0.12780568854047306,0.029053702697333955,0.007200460968247244,1.929595668177084
"Christchurch, New Zealand",2921024.250814435,6407063.470461624,1608525.8294520685,66716.48703393576,269.6047298789104,0.1255275397900948,0.005206479328753152,2.103964875031007e-05,2.193430427246613
"Philadelphia, United States",5989405.401277034,10780977.505202606,2644929.8949835133,601194.6059084953,58004.85674520009,0.12266651580096248,0.027882193688762224,0.0026901483059958396,1.8000079779044402
